573,0.2055
750,0.1945
1981,0.1943
572,0.191
591,0.1903
1540,0.1889
1306,0.1882
735,0.1859
770,0.1818
1980,0.1811
1299,0.181
1539,0.1799
1110,0.1791
734,0.1788
435,0.177
564,0.1748
732,0.1724
1308,0.1724
561,0.1703
446,0.1688
1360,0.1687
1503,0.1683
1272,0.1653
1323,0.1631
912,0.1619
1108,0.1597
1092,0.1578
966,0.1575
1107,0.1575
1098,0.1558
1182,0.1555
768,0.1551
1497,0.1545
1504,0.1538
590,0.1521
1485,0.1521
519,0.1509
1359,0.1506
1477,0.1506
608,0.1485
447,0.1478
1677,0.1477
1452,0.1472
1666,0.1466
1288,0.1462
570,0.1459
1146,0.1455
1281,0.1455
806,0.145
1476,0.145
984,0.1449
1720,0.1449
930,0.1448
1287,0.1445
552,0.1443
563,0.1443
399,0.1436
1324,0.1434
1290,0.143
582,0.1426
1269,0.1426
1575,0.1422
786,0.1418
1486,0.1416
581,0.1404
579,0.1401
804,0.14
807,0.1396
402,0.1388
429,0.1388
1459,0.1384
1119,0.1375
615,0.1373
1279,0.137
1164,0.1369
1531,0.1358
840,0.1353
1297,0.1336
948,0.1322
1128,0.1322
1353,0.1321
1002,0.1316
1692,0.1316
771,0.1311
1270,0.1308
1317,0.1307
401,0.1305
1101,0.1304
1458,0.1298
752,0.1297
921,0.1296
1326,0.1296
1718,0.1296
1529,0.1284
332,0.1278
340,0.1278
1180,0.1278
1719,0.1278
1665,0.1274
1090,0.1272
1144,0.1271
626,0.1268
492,0.1264
1296,0.1261
1728,0.1258
437,0.1253
428,0.125
498,0.1244
1450,0.1243
1576,0.1243
1791,0.1242
483,0.1239
642,0.1237
609,0.1227
762,0.1227
1173,0.1225
1515,0.1218
266,0.1215
408,0.121
554,0.1204
1961,0.1199
939,0.1193
539,0.1191
1143,0.1186
410,0.1184
1969,0.1182
1756,0.118
167,0.1176
1701,0.1173
1089,0.1167
1702,0.1166
1513,0.1164
1305,0.1156
1278,0.1155
1362,0.1141
1729,0.1141
1638,0.114
1530,0.1132
384,0.113
239,0.1126
179,0.1125
1537,0.1123
761,0.1121
597,0.1119
1684,0.1117
1726,0.1117
1979,0.1113
420,0.1112
1960,0.1112
1987,0.1111
246,0.1109
1952,0.1108
381,0.1106
482,0.1106
1564,0.1103
1789,0.1102
662,0.1101
1117,0.1101
1461,0.1095
795,0.1092
555,0.1086
383,0.108
491,0.108
1191,0.1076
500,0.1075
1116,0.1074
411,0.1071
1755,0.107
285,0.1068
653,0.1061
914,0.1058
1368,0.1057
249,0.1056
489,0.1053
1200,0.1052
1155,0.105
1495,0.1049
1762,0.1049
1344,0.1044
627,0.1041
1620,0.1041
644,0.1039
467,0.1035
303,0.1034
187,0.1033
588,0.1033
1749,0.1033
833,0.1032
1754,0.1029
633,0.1027
1020,0.1027
842,0.1024
1375,0.1023
1556,0.1023
753,0.1019
1506,0.1019
1315,0.1012
475,0.1009
1367,0.1009
1970,0.1008
1099,0.1005
744,0.1003
1358,0.0995
312,0.099
924,0.0989
1011,0.0989
680,0.0988
1693,0.0985
1479,0.0982
338,0.0981
240,0.0977
1396,0.0977
1449,0.0977
1137,0.0972
1533,0.0969
1639,0.0966
923,0.0962
1188,0.0962
656,0.0961
248,0.096
1512,0.096
654,0.0959
957,0.0959
1683,0.0957
606,0.0956
350,0.0952
1917,0.0952
813,0.0949
267,0.0948
1405,0.0944
1674,0.0943
1548,0.0941
1781,0.0938
1806,0.0938
860,0.0937
660,0.0935
741,0.0933
1524,0.0929
1944,0.0928
928,0.0927
358,0.0922
1792,0.0921
1978,0.0921
1014,0.092
651,0.0917
927,0.0916
993,0.0916
170,0.0912
624,0.0912
178,0.0907
484,0.0907
393,0.0906
1854,0.0906
815,0.0905
1551,0.0905
1371,0.0901
1971,0.0901
1565,0.09
1717,0.09
426,0.0899
367,0.0898
975,0.0898
629,0.0897
1797,0.0892
1803,0.0892
1314,0.089
1567,0.0888
473,0.0887
507,0.0884
831,0.0884
512,0.0883
637,0.0878
1009,0.0876
678,0.0874
954,0.0874
168,0.0872
339,0.0872
1972,0.0869
1341,0.0868
1641,0.0865
1918,0.0862
1927,0.0857
1335,0.0856
493,0.0855
1333,0.0854
1767,0.0854
1882,0.0854
1179,0.0851
107,0.085
759,0.0849
1888,0.0849
834,0.0842
844,0.0842
1675,0.0839
617,0.0838
1558,0.0838
169,0.0837
260,0.0837
438,0.0833
518,0.0833
1967,0.0832
304,0.0831
160,0.083
419,0.083
115,0.0827
800,0.0826
828,0.0826
822,0.0825
1000,0.0825
1776,0.0823
1945,0.0823
348,0.0822
464,0.0821
276,0.082
287,0.0819
663,0.0819
1968,0.0819
294,0.0818
359,0.0817
501,0.0815
545,0.0814
293,0.0813
1618,0.081
1673,0.0808
113,0.0807
503,0.0806
1709,0.0806
258,0.0799
520,0.0799
689,0.0798
176,0.0797
1488,0.0797
816,0.0796
1772,0.0794
1908,0.0794
1668,0.0793
161,0.0789
1218,0.0788
1369,0.0788
687,0.0786
296,0.0784
1494,0.0783
1585,0.078
302,0.0779
1578,0.0778
313,0.0777
1569,0.0777
1926,0.0777
1432,0.0776
1610,0.0776
480,0.0775
537,0.0775
959,0.0775
390,0.0774
1753,0.0773
305,0.0772
645,0.0772
1936,0.0772
284,0.0771
311,0.0771
347,0.0771
1560,0.0768
131,0.0766
1013,0.0766
180,0.0765
494,0.0765
1398,0.0763
1713,0.0763
295,0.0762
635,0.0762
1898,0.0762
1790,0.0761
664,0.0759
1619,0.0759
1745,0.0758
707,0.0755
1095,0.0754
995,0.0751
681,0.0749
1935,0.0748
1805,0.0747
669,0.0746
600,0.0744
159,0.0743
269,0.0742
808,0.0742
546,0.0739
618,0.0739
915,0.0739
257,0.0738
361,0.0737
1549,0.0736
